COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
Mew Gull,Larus canus,1,Suffolk,Winthrop,42.3751,-70.98279,1995-02-28
Ash-throated Flycatcher,Myiarchus cinerascens,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,1998-12-20
Harris's Sparrow,Zonotrichia querula,1,Bristol,South Dartmouth,41.5918,-70.94118,1994-03-01
Eared Grebe,Podiceps nigricollis,1,Essex,Gloucester,42.6158981,-70.6619873,1970-02-07
Northern Wheatear,Oenanthe oenanthe,1,Dukes,Gay Head,41.34371,-70.81477,1994-09-08
Mountain Bluebird,Sialia currucoides,3,Barnstable,South Wellfleet,41.91821,-69.99527,1995-01-27
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,"Monomoy NWR--South Beach, Chatham",41.6298145,-69.9609375,1997-07-31
LeConte's Sparrow,Ammospiza leconteii,1,Plymouth,Manomet Inc.,41.921005,-70.5442548,1971-09-04
Yellow Rail,Coturnicops noveboracensis,1,Suffolk,Dorchester,42.3008016,-71.0676384,1998-09-26
American White Pelican,Pelecanus erythrorhynchos,X,Essex,Parker River NWR,42.7639008,-70.8022995,1997-08-09
LeConte's Sparrow,Ammospiza leconteii,1,Plymouth,West Bridgewater,42.019,-71.00779,1999-10-22
Mississippi Kite,Ictinia mississippiensis,1,Barnstable,Truro,41.9934,-70.04977,1995-06-17
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1998-01-18
Curlew Sandpiper,Calidris ferruginea,1,Essex,Newburyport/Plum Island,42.7835591,-70.8142662,1974-08-10
Eared Grebe,Podiceps nigricollis,1,Essex,Gloucester,42.6158981,-70.6619873,1997-09-26
Eared Grebe,Podiceps nigricollis,1,Essex,East Gloucester,42.6085635,-70.6425286,1999-02-01
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR--Hellcat Dike,42.7411003,-70.7965012,1998-08-09
Eared Grebe,Podiceps nigricollis,1,Essex,Rockport,42.6557007,-70.6202927,1994-03-07
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1998-01-07
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1997-10-13
White-faced Ibis,Plegadis chihi,1,Essex,Topsfield,42.63759,-70.9495,1990-06-24
Townsend's Solitaire,Myadestes townsendi,1,Barnstable,Truro,41.9934,-70.04977,1997-11-02
Northern Wheatear,Oenanthe oenanthe,1,Essex,Newburyport,42.8125916,-70.8772964,1993-09-12
Painted Bunting,Passerina ciris,1,Barnstable,Monomoy NWR,41.5592382,-69.993639,1967-08-30
Harris's Sparrow,Zonotrichia querula,1,Worcester,Warren,42.21259,-72.19122,1963-12-26
Black-headed Grosbeak,Pheucticus melanocephalus,1,Middlesex,Lexington,42.4473,-71.2245,1979-02-04
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,"Monomoy NWR--South Beach, Chatham",41.6298145,-69.9609375,1988-07-31
Tufted Duck,Aythya fuligula,1,Worcester,Round Meadow Pond,42.5449392,-71.8945956,1999-03-29
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Minimoy Island,41.6155707,-69.9987888,1988-08-06
Pacific Loon,Gavia pacifica,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1997-05-24
Boreal Chickadee,Poecile hudsonicus,3,Essex,Newburyport waterworks,42.835192,-70.9161258,1983-12-03
Tundra Swan,Cygnus columbianus,1,Barnstable,Mashpee,41.64841,-70.48117,1995-01-03
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1995-11-26
Eared Grebe,Podiceps nigricollis,1,Essex,"Andrews Point, Rockport",42.687714,-70.6204365,1970-12-28
Painted Bunting,Passerina ciris,1,Barnstable,Brewster,41.7601089,-70.0827637,1994-01-31
Western Tanager,Piranga ludoviciana,1,Barnstable,South Wellfleet,41.91821,-69.99527,1999-01-16
American White Pelican,Pelecanus erythrorhynchos,1,Essex,Parker River NWR,42.7639008,-70.8022995,1997-07-25
Painted Bunting,Passerina ciris,1,Dukes,Gay Head,41.34371,-70.81477,1994-12-03
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Plymouth,Cumberland Farms,41.945,-70.879,1995-11-05
Varied Thrush,Ixoreus naevius,1,Middlesex,Sudbury,42.38339,-71.41621,1994-03-18
Tundra Swan,Cygnus columbianus,1,Hampden,Ashley Reservoir,42.1752583,-72.6591222,1997-04-07
Tufted Duck,Aythya fuligula,1,Bristol,Taunton,41.9001,-71.08979,1995-03-05
Townsend's Warbler,Setophaga townsendi,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,1978-05-04
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1998-10-24
Bridled Tern,Onychoprion anaethetus,1,Barnstable,First Encounter Beach,41.8215025,-70.0037241,1999-09-17
Mew Gull,Larus canus,1,Suffolk,Winthrop Beach and Five Sisters,42.3747938,-70.9681878,1999-01-16
Pacific Loon,Gavia pacifica,1,Dukes,Gay Head,41.34371,-70.81477,1998-02-07
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1979-08-05
Tufted Duck,Aythya fuligula,1,Bristol,"Lake Sabbatia, Taunton",41.9418719,-71.1086655,1995-02-12
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1998-01-01
Barnacle Goose,Branta leucopsis,1,Bristol,Acushnet River Slocum St. bridge,41.6780843,-70.9169197,1989-01-11
Harris's Sparrow,Zonotrichia querula,1,Essex,Salisbury,42.84179,-70.8606,1997-02-05
Black-backed Woodpecker,Picoides arcticus,1,Essex,29 Campmeeting,42.65488,-70.92802,1984-10-18
Gull-billed Tern,Gelochelidon nilotica,1,Suffolk,Belle Isle Marsh Reservation,42.3910639,-70.9930195,1997-05-10
Mew Gull,Larus canus,1,Suffolk,Winthrop Beach and Five Sisters,42.3747938,-70.9681878,1998-03-01
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1979-08-05
Tufted Duck,Aythya fuligula,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1975-03-02
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-19
Mew Gull,Larus canus,1,Suffolk,Winthrop,42.3751,-70.98279,1995-01-31
Yellow Rail,Coturnicops noveboracensis,1,Barnstable,"Fort Hill, Eastham",41.818792,-69.9644995,1997-10-19
Western Tanager,Piranga ludoviciana,1,Middlesex,Belmont,42.3959007,-71.1787033,1994-12-22
Boreal Chickadee,Poecile hudsonicus,1,Essex,Newburyport waterworks,42.835192,-70.9161258,1982-01-09
Eared Grebe,Podiceps nigricollis,1,Essex,East Gloucester,42.6085635,-70.6425286,1997-02-03
Mountain Bluebird,Sialia currucoides,1,Worcester,Rutland,42.36949,-71.94812,1994-05-29
Western Tanager,Piranga ludoviciana,1,Barnstable,East Orleans,41.78511,-69.97026,1998-12-31
Varied Thrush,Ixoreus naevius,1,Essex,West Boxford,42.70699,-71.0639,1994-01-23
Boreal Chickadee,Poecile hudsonicus,2,Suffolk,Arnold Arboretum,42.3051491,-71.1226591,1975-11-23
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,Plymouth,41.9584007,-70.6672821,1998-02-02
South Polar Skua,Stercorarius maccormicki,1,Nantucket,Georges Bank,41.0296434,-67.4560547,1997-07-07
Eared Grebe,Podiceps nigricollis,1,Essex,Eastern Point--General Area,42.5841153,-70.6568931,1990-08-04
Pacific Loon,Gavia pacifica,1,Essex,"Andrews Point, Rockport",42.687714,-70.6204365,1999-10-04
Yellow Rail,Coturnicops noveboracensis,1,Barnstable,Yarmouth Port,41.70201,-70.24947,1995-10-19
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1992-07-08
Mew Gull,Larus canus,1,Essex,Newburyport,42.8125916,-70.8772964,1996-03-12
LeConte's Sparrow,Ammospiza leconteii,1,Barnstable,"Fort Hill, Eastham",41.818792,-69.9644995,1972-04-02
Western Tanager,Piranga ludoviciana,1,Barnstable,East Orleans,41.78511,-69.97026,1999-01-16
Mew Gull,Larus canus,1,Suffolk,Winthrop,42.3751,-70.98279,1990-12-16
Tundra Swan,Cygnus columbianus,2,Berkshire,Onota Lake--Dan Casey Memorial Dr.,42.4845242,-73.2784317,1982-11-20
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1998-09-13
Varied Thrush,Ixoreus naevius,1,Middlesex,Holliston,42.2001,-71.4245,1994-02-11
Tundra Swan,Cygnus columbianus,1,Middlesex,Hammond Pond,42.3240318,-71.1702919,1997-03-17
Boreal Chickadee,Poecile hudsonicus,1,Worcester,"River Road, West Boylston",42.3829732,-71.8134856,1994-04-01
American White Pelican,Pelecanus erythrorhynchos,1,Essex,Parker River NWR,42.7639008,-70.8022995,1997-08-06
Black-backed Woodpecker,Picoides arcticus,1,Essex,Rowley,42.71679,-70.8787,1996-03-31
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Plymouth,Cumberland Farms,41.945,-70.879,1995-10-29
Mew Gull,Larus canus,1,Suffolk,South Boston,42.3381181,-71.0467815,1996-12-30
Eared Grebe,Podiceps nigricollis,1,Essex,Niles Beach,42.5976396,-70.6550503,1999-02-13
Eared Grebe,Podiceps nigricollis,1,Barnstable,Race Point,42.0691855,-70.2381706,1993-03-31
Painted Bunting,Passerina ciris,1,Barnstable,Brewster,41.7601089,-70.0827637,1995-03-10
Mew Gull,Larus canus,1,Suffolk,Winthrop,42.3751,-70.98279,1995-02-01
Mountain Bluebird,Sialia currucoides,3,Barnstable,South Wellfleet,41.91821,-69.99527,1995-02-01
Harris's Sparrow,Zonotrichia querula,1,Hampshire,Easthampton,42.26679,-72.66894,1993-10-09
Pink-footed Goose,Anser brachyrhynchus,1,Barnstable,Dennis,41.73541,-70.19386,1999-02-20
LeConte's Sparrow,Ammospiza leconteii,1,Barnstable,"Nauset Beach, Orleans",41.7888489,-69.9355316,1984-12-16
Ruff,Calidris pugnax,1,Middlesex,Great Meadows NWR--Concord Unit,42.4751409,-71.3295084,1975-08-02
LeConte's Sparrow,Ammospiza leconteii,1,Franklin,Deerfield,42.54449,-72.60563,1999-10-19
Harris's Sparrow,Zonotrichia querula,1,Essex,Salisbury,42.84179,-70.8606,1997-03-01
Tufted Duck,Aythya fuligula,1,Worcester,Wachusett Reservoir (please use more refined location),42.3828911,-71.7277861,1999-12-24
Tufted Duck,Aythya fuligula,1,Bristol,Taunton,41.9001,-71.08979,1995-02-12
Tufted Duck,Aythya fuligula,1,Worcester,Spencer,42.2315679,-71.9757271,1995-11-10
Varied Thrush,Ixoreus naevius,1,Middlesex,Concord,42.46039,-71.3489,1994-02-28
Ash-throated Flycatcher,Myiarchus cinerascens,1,Bristol,Westport,41.6354454,-71.0498474,1999-11-07
Tufted Duck,Aythya fuligula,1,Essex,Salisbury Beach State Reservation--Black Rock Creek,42.8230254,-70.8272867,1975-03-05
Townsend's Solitaire,Myadestes townsendi,1,Barnstable,Truro,41.9934,-70.04977,1997-11-02
Mississippi Kite,Ictinia mississippiensis,1,Plymouth,Lakeville,41.8459,-70.94949,1996-05-20
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1979-08-01
LeConte's Sparrow,Ammospiza leconteii,1,Hampshire,Arcadia WS--Meadows Conservation Area (Mass Audubon),42.3007929,-72.647502,1991-10-02
Lark Bunting,Calamospiza melanocorys,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1978-10-07
Northern Lapwing,Vanellus vanellus,1,Dukes,Martha's Vineyard,41.357523,-70.741613,1996-12-27
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1998-12-18
Purple Gallinule,Porphyrio martinica,1,Worcester,Bolton,42.43339,-71.60781,1976-07-04
Wilson's Plover,Charadrius wilsonia,1,Plymouth,Manomet Inc.,41.921005,-70.5442548,1967-09-14
Boreal Chickadee,Poecile hudsonicus,1,Essex,Georgetown Road feeder,42.7818897,-70.9874296,1999-12-28
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1997-10-31
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-09
Ruff,Calidris pugnax,1,Essex,Ipswich/Essex,42.6539094,-70.809288,1997-04-19
Loggerhead Shrike,Lanius ludovicianus,1,Hampshire,So.Hadley,42.2591117,-72.574482,1987-11-24
Eared Grebe,Podiceps nigricollis,1,Essex,Niles Beach,42.5976396,-70.6550503,1999-02-26
Varied Thrush,Ixoreus naevius,1,Hampshire,Granby,42.25649,-72.51623,1988-01-12
Ash-throated Flycatcher,Myiarchus cinerascens,1,Middlesex,Mt. Auburn Cemetery,42.371,-71.146,1998-12-06
Curlew Sandpiper,Calidris ferruginea,1,Essex,Parker River NWR,42.7639008,-70.8022995,1990-07-14
American White Pelican,Pelecanus erythrorhynchos,1,Bristol,Allens Pond WS--Allens Neck (Mass Audubon),41.51852,-71.00557,1996-08-14
Townsend's Solitaire,Myadestes townsendi,1,Plymouth,"BHI--World's End, Hingham (TTOR)",42.2713013,-70.8806992,1993-11-16
LeConte's Sparrow,Ammospiza leconteii,1,Suffolk,Dorchester,42.3008016,-71.0676384,1999-10-15
Varied Thrush,Ixoreus naevius,1,Middlesex,Sudbury,42.38339,-71.41621,1994-02-25
Purple Gallinule,Porphyrio martinica,1,Middlesex,Great Meadows NWR,42.4775413,-71.3310528,1965-05-08
Ruff,Calidris pugnax,1,Essex,Newburyport Harbor,42.8116989,-70.839798,1975-04-26
Northern Lapwing,Vanellus vanellus,1,Dukes,Chilmark,41.34321,-70.74477,1996-12-30
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1996-10-11
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1991-08-11
Boreal Chickadee,Poecile hudsonicus,1,Essex,Groveland,42.7603912,-71.0314026,1996-02-19
Pink-footed Goose,Anser brachyrhynchus,X,Barnstable,"Dennis Pines GC,Dennis,MA",41.7321235,-70.1547432,1999-02-20
Loggerhead Shrike,Lanius ludovicianus,1,Barnstable,"Sandy Neck Beach parking lot, Barnstable MA",41.7389768,-70.3811216,1992-01-05
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-30
Black-backed Woodpecker,Picoides arcticus,1,Franklin,"BBWO location, New Salem",42.4901268,-72.3234916,1998-04-04
Harris's Sparrow,Zonotrichia querula,1,Middlesex,Hopkinton,42.2286987,-71.5226135,1995-01-01
LeConte's Sparrow,Ammospiza leconteii,2,Hampshire,East Meadows,42.3080381,-72.615509,1991-10-02
Green-tailed Towhee,Pipilo chlorurus,1,Essex,SPA: South Peabody Area: contiguous N. Lynn-S. Peabody-SW Salem,42.5066859,-70.9449863,1979-10-18
Harris's Sparrow,Zonotrichia querula,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-11-16
Tundra Swan,Cygnus columbianus,1,Middlesex,Newton,42.337,-71.2092,1997-03-01
Mississippi Kite,Ictinia mississippiensis,2,Barnstable,North Truro,42.0334,-70.09527,1999-06-05
Eared Grebe,Podiceps nigricollis,1,Barnstable,East Orleans,41.78511,-69.97026,1995-01-14
Tufted Duck,Aythya fuligula,1,Worcester,Wachusett Reservoir (please use more refined location),42.3828911,-71.7277861,1999-01-01
Boreal Chickadee,Poecile hudsonicus,1,Essex,former residence on Heartbreak Rd.,42.6665143,-70.8278148,1976-02-16
Ivory Gull,Pagophila eburnea,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1975-01-30
Franklin's Gull,Leucophaeus pipixcan,1,Essex,Newburyport,42.8125916,-70.8772964,1975-09-23
Harris's Sparrow,Zonotrichia querula,1,Middlesex,Hopkinton,42.2286987,-71.5226135,1995-04-01
Fork-tailed Flycatcher,Tyrannus savana,1,Middlesex,Concord,42.46039,-71.3489,1990-05-02
White-faced Ibis,Plegadis chihi,1,Worcester,Holden,42.35179,-71.86342,1990-07-25
Tufted Duck,Aythya fuligula,1,Worcester,Wachusett Reservoir (please use more refined location),42.3828911,-71.7277861,1998-01-03
Purple Gallinule,Porphyrio martinica,1,Plymouth,Hingham,42.2418,-70.88979,1997-09-20
Ruff,Calidris pugnax,1,Essex,Newburyport Harbor,42.8116989,-70.839798,1986-05-03
Ivory Gull,Pagophila eburnea,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1976-01-10
Tundra Swan,Cygnus columbianus,1,Middlesex,Melrose,42.4584,-71.0662,1996-11-01
Eared Grebe,Podiceps nigricollis,1,Essex,Gloucester,42.6158981,-70.6619873,1996-10-30
Varied Thrush,Ixoreus naevius,1,Essex,Locust Grove Cemetery,42.6834134,-70.6469393,1989-12-27
Mountain Bluebird,Sialia currucoides,1,Barnstable,Marconi Station Site,41.9140224,-69.9714196,1995-01-27
Ruff,Calidris pugnax,1,Hampshire,Hadley,42.34179,-72.58843,1977-08-20
Tufted Duck,Aythya fuligula,1,Plymouth,Great Herring Pond,41.8117554,-70.5665588,1998-01-01
Mississippi Kite,Ictinia mississippiensis,1,Essex,Rowley,42.71679,-70.8787,1997-05-04
Eared Grebe,Podiceps nigricollis,1,Essex,Gloucester,42.6158981,-70.6619873,1997-12-06
Mew Gull,Larus canus,1,Suffolk,Winthrop,42.3751,-70.98279,1995-03-01
Tundra Swan,Cygnus columbianus,1,Essex,Magnolia,42.5746708,-70.7125568,1974-02-18
Ivory Gull,Pagophila eburnea,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1976-01-03
Curlew Sandpiper,Calidris ferruginea,1,Norfolk,Squantum (please use more refined location),42.2935007,-71.0279846,1991-09-10
Sooty Tern,Onychoprion fuscatus,3,Barnstable,First Encounter Beach,41.8215025,-70.0037241,1999-09-17
Franklin's Gull,Leucophaeus pipixcan,1,Plymouth,West Bridgewater,42.019,-71.00779,1997-10-26
LeConte's Sparrow,Ammospiza leconteii,1,Barnstable,"Fort Hill, Eastham",41.818792,-69.9644995,1972-04-02
Tufted Duck,Aythya fuligula,1,Plymouth,Plymouth,41.9584007,-70.6672821,1996-01-27
Harris's Sparrow,Zonotrichia querula,1,Bristol,"Westport, Massachusetts",41.516804,-71.0925293,1979-02-10
Eared Grebe,Podiceps nigricollis,1,Essex,Ocean Ave view of Boston,42.4895045,-70.8444357,1972-04-15
Rufous Hummingbird,Selasphorus rufus,1,Hampden,Agawam,42.0694885,-72.61483,1999-10-31
Ruff,Calidris pugnax,1,Essex,Newburyport,42.8125916,-70.8772964,1996-04-22
Northern Lapwing,Vanellus vanellus,1,Dukes,"Keith Farm, Chilmark MA",41.3449522,-70.7393789,1996-12-30
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR--Hellcat Dike,42.7411003,-70.7965012,1998-08-16
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1979-08-01
Painted Bunting,Passerina ciris,1,Barnstable,Brewster,41.7601089,-70.0827637,1995-01-31
Boreal Chickadee,Poecile hudsonicus,1,Essex,West Newbury,42.80149,-70.9898,1999-12-18
Eared Grebe,Podiceps nigricollis,1,Essex,East Gloucester,42.6085635,-70.6425286,1998-10-31
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1997-08-31
Loggerhead Shrike,Lanius ludovicianus,1,Essex,Newburyport,42.8125916,-70.8772964,1998-05-16
Townsend's Solitaire,Myadestes townsendi,1,Plymouth,"BHI--World's End, Hingham (TTOR)",42.2713013,-70.8806992,1993-11-24
Boreal Chickadee,Poecile hudsonicus,1,Worcester,Feeder in W. Boylston,42.3657738,-71.7930794,1994-02-21
Wilson's Plover,Charadrius wilsonia,1,Essex,Crane Beach,42.6839598,-70.7667586,1974-05-27
Boreal Chickadee,Poecile hudsonicus,1,Essex,Georgetown Road West Newbury,42.7818897,-70.9874296,1999-12-24
Mountain Bluebird,Sialia currucoides,3,Barnstable,Marconi Station--Headquarters/Visitor's Center,41.9048863,-69.9785522,1995-02-04
Tundra Swan,Cygnus columbianus,1,Worcester,Worcester,42.26259,-71.80232,1999-01-01
Black-throated Gray Warbler,Setophaga nigrescens,1,Dukes,"Keith Farm, Chilmark MA",41.3449522,-70.7393789,1996-12-30
Great Skua,Stercorarius skua,8,Barnstable,First Encounter Beach,41.8215025,-70.0037241,1992-12-13
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1998-08-16
Pink-footed Goose,Anser brachyrhynchus,1,Barnstable,Dennis,41.73541,-70.19386,1999-02-01
LeConte's Sparrow,Ammospiza leconteii,1,Plymouth,Rochester,41.7318,-70.82008,1994-10-28
Tufted Duck,Aythya fuligula,1,Worcester,Westminster,42.54589,-71.91062,1999-04-04
Ruff,Calidris pugnax,1,Essex,Ipswich,42.67929,-70.84119,1997-04-26
Mew Gull,Larus canus,1,Suffolk,"Lewis Lake Park, Winthrop",42.3742711,-70.9754562,1990-12-22
Varied Thrush,Ixoreus naevius,1,Hampshire,north amherst,42.4244702,-72.5331116,1986-02-14
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Plymouth,Cumberland Farms,41.945,-70.879,1995-10-31
Painted Bunting,Passerina ciris,1,Barnstable,"Fort Hill, Eastham",41.818792,-69.9644995,1993-03-09
Mew Gull,Larus canus,1,Suffolk,South Boston,42.3381181,-71.0467815,1996-03-09
Eared Grebe,Podiceps nigricollis,1,Essex,Ocean Ave view of Boston,42.4895045,-70.8444357,1972-04-01
Black-throated Gray Warbler,Setophaga nigrescens,1,Essex,Salem,42.5195,-70.89669,1977-11-01
Loggerhead Shrike,Lanius ludovicianus,1,Hampshire,"River Lodge Rd, South Hadley",42.25258,-72.6025057,1987-12-20
Ash-throated Flycatcher,Myiarchus cinerascens,1,Bristol,Gooseberry Neck,41.4869773,-71.0375977,1999-11-06
American White Pelican,Pelecanus erythrorhynchos,1,Essex,Parker River NWR,42.7639008,-70.8022995,1997-09-09
Townsend's Solitaire,Myadestes townsendi,1,Plymouth,"BHI--World's End, Hingham (TTOR)",42.2713013,-70.8806992,1993-11-13
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,MA_Plum Island-Parker River NWR,42.7385356,-70.7918082,1998-08-25
Eared Grebe,Podiceps nigricollis,1,Barnstable,East Orleans,41.78511,-69.97026,1995-02-12
Tundra Swan,Cygnus columbianus,1,Plymouth,Lakeville,41.8459,-70.94949,1999-01-08
Say's Phoebe,Sayornis saya,1,Essex,Parker River NWR,42.7639008,-70.8022995,1979-09-08
American White Pelican,Pelecanus erythrorhynchos,1,Barnstable,Hyannis,41.65291,-70.28277,1994-03-01
Black-backed Woodpecker,Picoides arcticus,1,Essex,Rowley,42.71679,-70.8787,1996-03-01
Tufted Duck,Aythya fuligula,1,Essex,Salisbury,42.84179,-70.8606,1975-03-23
Pacific Loon,Gavia pacifica,1,Barnstable,Race Point,42.0691855,-70.2381706,1999-03-20
Northern Wheatear,Oenanthe oenanthe,1,Worcester,Milford,42.1398,-71.51621,1994-09-17
Gull-billed Tern,Gelochelidon nilotica,1,Barnstable,Outermost Harbor,41.6649423,-69.9501657,1998-09-18
Mississippi Kite,Ictinia mississippiensis,1,Barnstable,South Wellfleet,41.91821,-69.99527,1995-06-18
Mountain Bluebird,Sialia currucoides,1,Worcester,New Braintree,42.31679,-72.12592,1997-06-13
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1998-05-15
Yellow Rail,Coturnicops noveboracensis,1,Bristol,South Dartmouth,41.5918,-70.94118,1997-10-18
Painted Bunting,Passerina ciris,1,Barnstable,Brewster,41.7601089,-70.0827637,1994-12-01
Loggerhead Shrike,Lanius ludovicianus,1,Essex,Parker River NWR,42.7639008,-70.8022995,1965-09-04
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1997-12-29
Ash-throated Flycatcher,Myiarchus cinerascens,1,Bristol,Westport,41.6354454,-71.0498474,1999-11-05
Loggerhead Shrike,Lanius ludovicianus,1,Essex,Newburyport,42.8125916,-70.8772964,1998-05-21
Eared Grebe,Podiceps nigricollis,1,Essex,Eastern Point--General Area,42.5841153,-70.6568931,1999-02-13
Pacific Loon,Gavia pacifica,1,Essex,Parker River NWR,42.7639008,-70.8022995,1997-05-10
Tufted Duck,Aythya fuligula,1,Barnstable,Nye Pond,41.7274707,-70.4324155,1989-02-15
Great Skua,Stercorarius skua,8,Barnstable,First Encounter Beach,41.8215025,-70.0037241,1992-12-13
Purple Gallinule,Porphyrio martinica,1,Essex,Marblehead,42.5001,-70.85779,1996-09-30
Sooty Tern,Onychoprion fuscatus,1,Worcester,Spencer,42.24399,-71.99232,1979-09-07
Fork-tailed Flycatcher,Tyrannus savana,X,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1998-08-17
Mew Gull,Larus canus,1,Suffolk,Winthrop,42.3795972,-70.9807777,1995-03-19
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-26
Northern Wheatear,Oenanthe oenanthe,1,Worcester,"abandoned factory, Milford",42.1463434,-71.5156993,1994-09-18
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Plum Island,42.8125916,-70.8134003,1998-08-22
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1997-08-01
Tufted Duck,Aythya fuligula,1,Worcester,Wachusett Reservoir (please use more refined location),42.3828911,-71.7277861,1998-12-24
Tufted Duck,Aythya fuligula,1,Plymouth,Assawompsett Ponds complex (please use more refined location),41.8176265,-70.9079238,1995-10-14
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1979-07-06
Ruff,Calidris pugnax,1,Dukes,Penikese Island,41.4501894,-70.9212971,1994-07-05
Ruff,Calidris pugnax,1,Essex,Parker River NWR,42.7639008,-70.8022995,1970-08-22
Townsend's Solitaire,Myadestes townsendi,1,Plymouth,"BHI--World's End, Hingham (TTOR)",42.2713013,-70.8806992,1993-12-01
Varied Thrush,Ixoreus naevius,1,Middlesex,Concord,42.46039,-71.3489,1994-01-31
Wilson's Plover,Charadrius wilsonia,1,Barnstable,Monomoy NWR--North Monomoy Island,41.6341667,-69.9744444,1996-05-04
Ruff,Calidris pugnax,1,Essex,Joppa Flats Education Center (Mass Audubon),42.7994077,-70.8468658,1993-05-01
Brown Pelican,Pelecanus occidentalis,1,Essex,Gloucester,42.6158981,-70.6619873,1995-06-11
Ruff,Calidris pugnax,1,Barnstable,North Falmouth,41.64591,-70.61837,1994-04-27
Franklin's Gull,Leucophaeus pipixcan,1,Barnstable,Wellfleet,41.93761,-70.03277,1996-11-24
Tufted Duck,Aythya fuligula,1,Essex,Peabody,42.5279,-70.92869,1998-03-31
Mew Gull,Larus canus,1,Suffolk,Winthrop,42.3751,-70.98279,1995-03-31
Rufous Hummingbird,Selasphorus rufus,1,Hampden,"School St., Agawam, MA",42.0692875,-72.6141985,1997-11-01
