COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE
Scissor-tailed Flycatcher,Tyrannus forficatus,1,Essex,Parker River NWR,42.7639008,-70.8022995,1965-09-26
Tundra Swan,Cygnus columbianus,1,Essex,"Rantoul Pond, Ipswich",42.6769458,-70.7914352,1979-01-10
Ruff,Calidris pugnax,1,Essex,Newburyport,42.8125916,-70.8772964,1994-07-02
Mississippi Kite,Ictinia mississippiensis,1,Essex,Martin Burns WMA,42.76075,-70.9151,1995-05-20
Eared Grebe,Podiceps nigricollis,1,Plymouth,Wareham,41.7625999,-70.7216797,1994-12-17
Mew Gull,Larus canus,1,Suffolk,South Boston,42.3381181,-71.0467815,1998-01-28
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-16
Pacific Loon,Gavia pacifica,1,Essex,Gloucester,42.6158981,-70.6619873,1999-05-14
Pacific Loon,Gavia pacifica,1,Essex,Plum Island (please use more refined location),42.7985496,-70.8090735,1997-05-10
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-23
Franklin's Gull,Leucophaeus pipixcan,1,Barnstable,Monomoy NWR--South End,41.5435591,-70.0061059,1995-08-31
Varied Thrush,Ixoreus naevius,1,Essex,West Boxford,42.6328473,-71.0414429,1994-01-29
White Ibis,Eudocimus albus,1,Bristol,Allens Pond Wildlife Sanctuary (Mass Audubon),41.5132529,-71.0139501,1975-09-11
Varied Thrush,Ixoreus naevius,1,Franklin,New Salem,42.5067175,-72.3348856,1984-01-28
Franklin's Gull,Leucophaeus pipixcan,1,Barnstable,Monomoy NWR--South End,41.5435591,-70.0061059,1995-08-28
Ruff,Calidris pugnax,1,Barnstable,"Fort Hill, Eastham",41.818792,-69.9644995,1999-09-12
LeConte's Sparrow,Ammospiza leconteii,2,Hampshire,"East Meadows, Northampton",42.319653,-72.6090717,1994-10-02
Boreal Chickadee,Poecile hudsonicus,1,Essex,West Newbury,42.80149,-70.9898,1999-11-30
Eared Grebe,Podiceps nigricollis,1,Essex,Cape Ann (please use more refined location),42.657793,-70.6332529,1994-02-06
Ruff,Calidris pugnax,2,Essex,Newburyport,42.8125916,-70.8772964,1995-05-06
Loggerhead Shrike,Lanius ludovicianus,1,Worcester,Brookfield,42.21399,-72.10232,1993-09-14
Bar-tailed Godwit,Limosa lapponica,1,Essex,Newburyport Harbor,42.8116989,-70.839798,1976-05-22
Fork-tailed Flycatcher,Tyrannus savana,1,Dukes,Martha's Vineyard,41.357523,-70.741613,1961-09-26
Black-throated Gray Warbler,Setophaga nigrescens,1,Middlesex,Middlesex Fells--Winford Way Entrance,42.436951,-71.1271812,1970-10-12
Loggerhead Shrike,Lanius ludovicianus,1,Essex,Parker River NWR,42.7639008,-70.8022995,1995-09-16
Yellow Rail,Coturnicops noveboracensis,1,Plymouth,Marshfield,42.0918,-70.70558,1994-10-08
Eared Grebe,Podiceps nigricollis,1,Essex,Eastern Point--General Area,42.5841153,-70.6568931,1999-10-24
Lark Bunting,Calamospiza melanocorys,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1978-09-30
Franklin's Gull,Leucophaeus pipixcan,1,Essex,Little Nahant,42.4357471,-70.9340471,1989-09-03
Pacific Loon,Gavia pacifica,1,Barnstable,Race Point,42.0691855,-70.2381706,1994-03-15
Tufted Duck,Aythya fuligula,1,Worcester,Sterling,42.43759,-71.76062,1999-11-07
Tufted Duck,Aythya fuligula,1,Plymouth,"Assawompsett Pond, Lakeville",41.8351311,-70.9100533,1995-10-14
Harris's Sparrow,Zonotrichia querula,1,Middlesex,Hopkinton,42.2286987,-71.5226135,1995-03-31
Ruff,Calidris pugnax,2,Essex,Parker River NWR--Stage Island Pool,42.710964,-70.7760179,1981-06-28
Townsend's Warbler,Setophaga townsendi,1,Dukes,Chilmark,41.34321,-70.74477,1998-10-04
Purple Gallinule,Porphyrio martinica,1,Middlesex,Great Meadows NWR--Concord Unit,42.4751409,-71.3295084,1964-08-12
Mississippi Kite,Ictinia mississippiensis,1,Barnstable,Orleans,41.78981,-69.98976,1997-06-01
Loggerhead Shrike,Lanius ludovicianus,1,Hampshire,"East Meadows, Northampton",42.319653,-72.6090717,1978-03-25
Boreal Chickadee,Poecile hudsonicus,1,Worcester,"River Road, West Boylston",42.3829732,-71.8134856,1990-03-10
Mew Gull,Larus canus,1,Suffolk,Winthrop,42.3751,-70.98279,1995-01-15
Bar-tailed Godwit,Limosa lapponica,1,Barnstable,Monomoy NWR,41.5913346,-69.9880211,1992-07-25
Fork-tailed Flycatcher,Tyrannus savana,1,Essex,Parker River NWR,42.7639008,-70.8022995,1998-08-26
Black-throated Gray Warbler,Setophaga nigrescens,1,Essex,Salem Woods,42.5040599,-70.908637,1977-11-13
Eared Grebe,Podiceps nigricollis,1,Essex,Gloucester,42.6158981,-70.6619873,1997-12-27
Ruff,Calidris pugnax,1,Essex,Newburyport Harbor,42.8116989,-70.839798,1995-04-23
Varied Thrush,Ixoreus naevius,1,Hampshire,Graves Farms-House & Barn,42.4029353,-72.7114059,1982-01-02
Tundra Swan,Cygnus columbianus,1,Worcester,Auburn,42.19449,-71.83562,1995-04-12
Ivory Gull,Pagophila eburnea,1,Essex,Salisbury Beach State Reservation,42.8268013,-70.8180008,1976-01-11
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1998-02-01
Mountain Bluebird,Sialia currucoides,3,Barnstable,South Wellfleet,41.91821,-69.99527,1995-01-31
Tundra Swan,Cygnus columbianus,X,Middlesex,Newton,42.337,-71.2092,1997-03-06
Ruff,Calidris pugnax,1,Essex,Newburyport Harbor,42.8116989,-70.839798,1975-05-04
Ivory Gull,Pagophila eburnea,1,Essex,Newburyport Harbor,42.8116989,-70.839798,1976-01-10
Tufted Duck,Aythya fuligula,1,Plymouth,Great Herring Pond,41.8117554,-70.5665588,1998-01-26
Loggerhead Shrike,Lanius ludovicianus,1,Hampshire,River Lodge Rd./McCray's,42.2514553,-72.6035629,1987-12-20
Loggerhead Shrike,Lanius ludovicianus,1,Plymouth,Plymouth Beach,41.9765658,-70.6505452,1974-07-27
Ruff,Calidris pugnax,1,Essex,Newburyport Harbor,42.8116989,-70.839798,1988-04-23
Eared Grebe,Podiceps nigricollis,1,Barnstable,"Nauset Beach, Orleans",41.7888489,-69.9355316,1995-01-28
Curlew Sandpiper,Calidris ferruginea,1,Essex,Parker River NWR,42.7639008,-70.8022995,1990-07-22
Black-backed Woodpecker,Picoides arcticus,1,Norfolk,Sharon,42.1237,-71.1787,1996-03-19
Bar-tailed Godwit,Limosa lapponica,1,Plymouth,Plymouth,41.9584007,-70.6672821,1998-01-01
Ruff,Calidris pugnax,1,Essex,Newburyport Harbor,42.8116989,-70.839798,1995-04-24
Black-headed Grosbeak,Pheucticus melanocephalus,1,Middlesex,Weston,42.3668,-71.3031,1962-12-06
Mew Gull,Larus canus,1,Suffolk,South Boston,42.3381181,-71.0467815,1996-03-05
Mountain Bluebird,Sialia currucoides,2,Barnstable,Marconi Station Site,41.9140224,-69.9714196,1995-02-14
Tufted Duck,Aythya fuligula,1,Plymouth,Great Herring Pond,41.8117554,-70.5665588,1998-01-05
Bar-tailed Godwit,Limosa lapponica,X,Plymouth,"Nelson Field, Plymouth",41.9676273,-70.6720448,1998-01-11
