COMMON NAME	SCIENTIFIC NAME	OBSERVATION COUNT	STATE	COUNTY	LOCALITY	LATITUDE	LONGITUDE	OBSERVATION DATE	OBSERVER ID
Barnacle Goose	Branta leucopsis	1	Massachusetts	Essex	Ipswich	42.67929	-70.84119	11/10/2002	obsr18326
Barnacle Goose	Branta leucopsis	1	Massachusetts	Middlesex	Wakefield	42.5065	-71.0728	2/17/2002	obsr171679
Barnacle Goose	Branta leucopsis	1	Massachusetts	Franklin	Tri Town Beach	42.4644944	-72.6149889	4/13/2003	obsr451527
Barnacle Goose	Branta leucopsis	1	Massachusetts	Plymouth	West Bridgewater	42.019	-71.00779	3/22/2003	obsr339145
Barnacle Goose	Branta leucopsis	1	Massachusetts	Franklin	Whately	42.43979	-72.63483	4/13/2003	obsr339145
Barnacle Goose	Branta leucopsis	1	Massachusetts	Franklin	Tri Town Beach	42.4644944	-72.6149889	4/16/2003	obsr7870
Barnacle Goose	Branta leucopsis	1	Massachusetts	Bristol	Rehoboth	41.8404	-71.24949	2/2/2003	obsr44478
Barnacle Goose	Branta leucopsis	1	Massachusetts	Franklin	Whately	42.43979	-72.63483	4/14/2003	obsr171679
Barnacle Goose	Branta leucopsis	1	Massachusetts	Plymouth	West Bridgewater	42.019	-71.00779	3/22/2003	obsr171679
Barnacle Goose	Branta leucopsis	1	Massachusetts	Plymouth	"Model Airplane Field, West Bridgewater"	42.0012181	-71.0292721	3/22/2003	obsr192631
Barnacle Goose	Branta leucopsis	1	Massachusetts	Franklin	Tri Town Beach	42.4644944	-72.6149889	4/14/2003	obsr106548
Barnacle Goose	Branta leucopsis	1	Massachusetts	Franklin	Turners Falls	42.60429	-72.55643	3/25/2003	obsr339145
Barnacle Goose	Branta leucopsis	1	Massachusetts	Franklin	Whately	42.43979	-72.63483	4/14/2003	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Barnstable	"Washburn Pond, Mashpee, MA"	41.6437024	-70.4839361	3/10/1991	obsr54366
Tundra Swan	Cygnus columbianus	1	Massachusetts	Plymouth	Pembroke	42.0715	-70.80919	11/2/1997	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Hampshire	Mill Pond on Ferry St. Easthampton	42.2755093	-72.655925	4/7/1998	obsr340174
Tundra Swan	Cygnus columbianus	1	Massachusetts	Middlesex	Newton	42.337	-71.2092	3/17/1997	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Worcester	Auburn	42.19449	-71.83562	4/12/1995	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Hampshire	Northampton	42.32509	-72.64123	3/26/1991	obsr7870
Tundra Swan	Cygnus columbianus	23	Massachusetts	Bristol	Westport	41.6354454	-71.0498474	11/15/1998	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Essex	Gloucester	42.6158981	-70.6619873	1/1/1996	obsr339145
Tundra Swan	Cygnus columbianus	1	Massachusetts	Hampshire	Northampton	42.32509	-72.64123	3/30/1991	obsr39970
